MergeSort QuickSort TimSort OESM Cook_Kim LIS LIS_treap BothAlgo LIS_small BothAlgo_small 
1546 1546 1546 1546 1546 1546 1546 1546 1546 1546 
1554 1554 1554 1554 1554 1554 1554 1554 1554 1554 
1566 1566 1566 1566 1566 1566 1566 1566 1566 1566 
1605 1605 1605 1605 1605 1605 1605 1605 1605 1605 
1608 1608 1608 1608 1608 1608 1608 1608 1608 1608 
1618 1618 1618 1618 1618 1618 1618 1618 1618 1618 
1656 1656 1656 1656 1656 1656 1656 1656 1656 1656 
1656 1656 1656 1656 1656 1656 1656 1656 1656 1656 
1677 1677 1677 1677 1677 1677 1677 1677 1677 1677 
1671 1671 1671 1671 1671 1671 1671 1671 1671 1671 
1667 1667 1667 1667 1667 1667 1667 1667 1667 1667 
1673 1673 1673 1673 1673 1673 1673 1673 1673 1673 
1698 1698 1698 1698 1698 1698 1698 1698 1698 1698 
1710 1710 1710 1710 1710 1710 1710 1710 1710 1710 
1727 1727 1727 1727 1727 1727 1727 1727 1727 1727 
1713 1713 1713 1713 1713 1713 1713 1713 1713 1713 
1728 1728 1728 1728 1728 1728 1728 1728 1728 1728 
1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 
1730 1730 1730 1730 1730 1730 1730 1730 1730 1730 
1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 
1767 1767 1767 1767 1767 1767 1767 1767 1767 1767 
1778 1778 1778 1778 1778 1778 1778 1778 1778 1778 
1798 1798 1798 1798 1798 1798 1798 1798 1798 1798 
1794 1794 1794 1794 1794 1794 1794 1794 1794 1794 
1811 1811 1811 1811 1811 1811 1811 1811 1811 1811 
1830 1830 1830 1830 1830 1830 1830 1830 1830 1830 
1828 1828 1828 1828 1828 1828 1828 1828 1828 1828 
1836 1836 1836 1836 1836 1836 1836 1836 1836 1836 
1857 1857 1857 1857 1857 1857 1857 1857 1857 1857 
1856 1856 1856 1856 1856 1856 1856 1856 1856 1856 

262 262 262 262 262 262 262 262 262 262 
374 374 374 374 374 374 374 374 374 374 
468 468 468 468 468 468 468 468 468 468 
551 551 551 551 551 551 551 551 551 551 
619 619 619 619 619 619 619 619 619 619 
692 692 692 692 692 692 692 692 692 692 
734 734 734 734 734 734 734 734 734 734 
780 780 780 780 780 780 780 780 780 780 
810 810 810 810 810 810 810 810 810 810 
886 886 886 886 886 886 886 886 886 886 
942 942 942 942 942 942 942 942 942 942 
986 986 986 986 986 986 986 986 986 986 
1030 1030 1030 1030 1030 1030 1030 1030 1030 1030 
1063 1063 1063 1063 1063 1063 1063 1063 1063 1063 
1092 1092 1092 1092 1092 1092 1092 1092 1092 1092 
1117 1117 1117 1117 1117 1117 1117 1117 1117 1117 
1193 1193 1193 1193 1193 1193 1193 1193 1193 1193 
1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 
1198 1198 1198 1198 1198 1198 1198 1198 1198 1198 
1287 1287 1287 1287 1287 1287 1287 1287 1287 1287 
1264 1264 1264 1264 1264 1264 1264 1264 1264 1264 
1286 1286 1286 1286 1286 1286 1286 1286 1286 1286 
1321 1321 1321 1321 1321 1321 1321 1321 1321 1321 
1374 1374 1374 1374 1374 1374 1374 1374 1374 1374 
1356 1356 1356 1356 1356 1356 1356 1356 1356 1356 
1340 1340 1340 1340 1340 1340 1340 1340 1340 1340 
1395 1395 1395 1395 1395 1395 1395 1395 1395 1395 
1401 1401 1401 1401 1401 1401 1401 1401 1401 1401 
1435 1435 1435 1435 1435 1435 1435 1435 1435 1435 
1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 
1507 1507 1507 1507 1507 1507 1507 1507 1507 1507 
1528 1528 1528 1528 1528 1528 1528 1528 1528 1528 
1517 1517 1517 1517 1517 1517 1517 1517 1517 1517 
1534 1534 1534 1534 1534 1534 1534 1534 1534 1534 
1619 1619 1619 1619 1619 1619 1619 1619 1619 1619 
1600 1600 1600 1600 1600 1600 1600 1600 1600 1600 
1620 1620 1620 1620 1620 1620 1620 1620 1620 1620 
1626 1626 1626 1626 1626 1626 1626 1626 1626 1626 
1651 1651 1651 1651 1651 1651 1651 1651 1651 1651 
1665 1665 1665 1665 1665 1665 1665 1665 1665 1665 
1650 1650 1650 1650 1650 1650 1650 1650 1650 1650 
1674 1674 1674 1674 1674 1674 1674 1674 1674 1674 
1645 1645 1645 1645 1645 1645 1645 1645 1645 1645 
1664 1664 1664 1664 1664 1664 1664 1664 1664 1664 
1687 1687 1687 1687 1687 1687 1687 1687 1687 1687 
1696 1696 1696 1696 1696 1696 1696 1696 1696 1696 
1702 1702 1702 1702 1702 1702 1702 1702 1702 1702 
1742 1742 1742 1742 1742 1742 1742 1742 1742 1742 
1804 1804 1804 1804 1804 1804 1804 1804 1804 1804 
1831 1831 1831 1831 1831 1831 1831 1831 1831 1831 
1830 1830 1830 1830 1830 1830 1830 1830 1830 1830 
1831 1831 1831 1831 1831 1831 1831 1831 1831 1831 
1848 1848 1848 1848 1848 1848 1848 1848 1848 1848 
1808 1808 1808 1808 1808 1808 1808 1808 1808 1808 
1874 1874 1874 1874 1874 1874 1874 1874 1874 1874 
1880 1880 1880 1880 1880 1880 1880 1880 1880 1880 
1861 1861 1861 1861 1861 1861 1861 1861 1861 1861 
1874 1874 1874 1874 1874 1874 1874 1874 1874 1874 
1890 1890 1890 1890 1890 1890 1890 1890 1890 1890 
1933 1933 1933 1933 1933 1933 1933 1933 1933 1933 
1911 1911 1911 1911 1911 1911 1911 1911 1911 1911 

262 262 262 262 262 262 262 262 262 262 
548 548 548 548 548 548 548 548 548 548 
576 576 576 576 576 576 576 576 576 576 
604 604 604 604 604 604 604 604 604 604 
635 635 635 635 635 635 635 635 635 635 
663 663 663 663 663 663 663 663 663 663 
684 684 684 684 684 684 684 684 684 684 
702 702 702 702 702 702 702 702 702 702 
748 748 748 748 748 748 748 748 748 748 
771 771 771 771 771 771 771 771 771 771 
816 816 816 816 816 816 816 816 816 816 
838 838 838 838 838 838 838 838 838 838 
877 877 877 877 877 877 877 877 877 877 
882 882 882 882 882 882 882 882 882 882 
897 897 897 897 897 897 897 897 897 897 
940 940 940 940 940 940 940 940 940 940 
970 970 970 970 970 970 970 970 970 970 
994 994 994 994 994 994 994 994 994 994 
995 995 995 995 995 995 995 995 995 995 
1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 
1040 1040 1040 1040 1040 1040 1040 1040 1040 1040 
1060 1060 1060 1060 1060 1060 1060 1060 1060 1060 
1074 1074 1074 1074 1074 1074 1074 1074 1074 1074 
1077 1077 1077 1077 1077 1077 1077 1077 1077 1077 
1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 
1129 1129 1129 1129 1129 1129 1129 1129 1129 1129 
1167 1167 1167 1167 1167 1167 1167 1167 1167 1167 
1181 1181 1181 1181 1181 1181 1181 1181 1181 1181 
1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 
1219 1219 1219 1219 1219 1219 1219 1219 1219 1219 
1247 1247 1247 1247 1247 1247 1247 1247 1247 1247 
1250 1250 1250 1250 1250 1250 1250 1250 1250 1250 
1258 1258 1258 1258 1258 1258 1258 1258 1258 1258 
1263 1263 1263 1263 1263 1263 1263 1263 1263 1263 
1298 1298 1298 1298 1298 1298 1298 1298 1298 1298 
1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 
1310 1310 1310 1310 1310 1310 1310 1310 1310 1310 
1334 1334 1334 1334 1334 1334 1334 1334 1334 1334 
1340 1340 1340 1340 1340 1340 1340 1340 1340 1340 
1357 1357 1357 1357 1357 1357 1357 1357 1357 1357 
1355 1355 1355 1355 1355 1355 1355 1355 1355 1355 
1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 
1357 1357 1357 1357 1357 1357 1357 1357 1357 1357 
1377 1377 1377 1377 1377 1377 1377 1377 1377 1377 
1394 1394 1394 1394 1394 1394 1394 1394 1394 1394 
1404 1404 1404 1404 1404 1404 1404 1404 1404 1404 
1399 1399 1399 1399 1399 1399 1399 1399 1399 1399 
1410 1410 1410 1410 1410 1410 1410 1410 1410 1410 
1416 1416 1416 1416 1416 1416 1416 1416 1416 1416 
1420 1420 1420 1420 1420 1420 1420 1420 1420 1420 
1423 1423 1423 1423 1423 1423 1423 1423 1423 1423 
1448 1448 1448 1448 1448 1448 1448 1448 1448 1448 
1456 1456 1456 1456 1456 1456 1456 1456 1456 1456 
1478 1478 1478 1478 1478 1478 1478 1478 1478 1478 
1476 1476 1476 1476 1476 1476 1476 1476 1476 1476 
1487 1487 1487 1487 1487 1487 1487 1487 1487 1487 
1504 1504 1504 1504 1504 1504 1504 1504 1504 1504 
1508 1508 1508 1508 1508 1508 1508 1508 1508 1508 
1514 1514 1514 1514 1514 1514 1514 1514 1514 1514 
1530 1530 1530 1530 1530 1530 1530 1530 1530 1530 
1538 1538 1538 1538 1538 1538 1538 1538 1538 1538 


